年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所-薪資,研究所-女/男
2018,工業及服務業,27583,98.98,23558,99.38,24477,98.87,26206,98.99,28849,99.01,33880,99.32
2018,工業及服務業-專業人員,34464,99.35,— ,— ,— ,— ,— ,— ,32317,99.29,37269,99.41
2018,工業及服務業-技術員及助理專業人員,29275,99.2,— ,— ,— ,— ,27105,98.92,29216,99.15,32809,99.48
2018,工業及服務業-事務支援人員,26631,99.05,— ,— ,24352,99.12,25574,99.39,27223,99.09,30869,99.52
2018,工業及服務業-服務及銷售工作人員,25788,99.39,24049,99.52,24730,99.48,25977,99.44,27551,99.28,— ,— 
2018,工業及服務業-技藝_機械設備操作及組裝人員,26161,98.67,— ,— ,24972,98.27,26247,98.58,27549,99.17,— ,— 
2018,工業及服務業-基層技術工及勞力工,23564,99.11,23265,99.27,23795,99,— ,— ,— ,— ,— ,— 
2018,工業,27555,98.82,23369,99.25,24399,98.65,26242,98.76,28850,98.88,33893,99.23
2018,工業-專業人員,34378,99.29,— ,— ,— ,— ,— ,— ,32145,99.15,37175,99.36
2018,工業-技術員及助理專業人員,28985,99.03,— ,— ,— ,— ,26918,98.6,28894,99.04,32572,99.35
2018,工業-事務支援人員,26675,98.89,— ,— ,24344,98.94,25663,99.27,27315,98.92,30959,99.43
2018,工業-服務及銷售工作人員,26443,99.2,23893,99.4,25082,99.25,26782,99.15,28684,99.13,— ,— 
2018,工業-技藝_機械設備操作及組裝人員,25831,98.54,— ,— ,24667,98.19,25957,98.42,27193,99.01,— ,— 
2018,工業-基層技術工及勞力工,23451,98.92,23144,99.17,23697,98.74,— ,— ,— ,— ,— ,— 
2018,礦業及土石採取業,26492,96.76,22745,98.2,24819,96.59,26027,98.82,27914,97.11,31946,93.66
2018,礦業及土石採取業-專業人員,36166,96.68,— ,— ,— ,— ,— ,— ,35036,96.02,37618,98.03
2018,礦業及土石採取業-技術員及助理專業人員,27954,98.28,— ,— ,— ,— ,27634,98.43,28065,98.48,28642,97.39
2018,礦業及土石採取業-事務支援人員,24672,98.79,— ,— ,23857,98.92,24486,99.74,25413,99.26,26978,95.65
2018,礦業及土石採取業-服務及銷售工作人員,25531,100,… ,… ,24972,100,… ,… ,… ,… ,— ,— 
2018,礦業及土石採取業-技藝_機械設備操作及組裝人員,27017,98.15,— ,— ,26529,95.77,27016,99.11,27819,100,— ,— 
2018,礦業及土石採取業-基層技術工及勞力工,23276,96.36,22911,97.97,23621,95.02,— ,— ,— ,— ,— ,— 
2018,製造業,27499,98.96,23310,99.41,24271,98.88,26145,98.89,28777,99.01,33916,99.28
2018,製造業-專業人員,34310,99.33,— ,— ,— ,— ,— ,— ,31972,99.24,37170,99.35
2018,製造業-技術員及助理專業人員,28853,99.11,— ,— ,— ,— ,26717,98.73,28746,99.14,32487,99.36
2018,製造業-事務支援人員,26777,99,— ,— ,24359,98.98,25707,99.25,27405,99.02,31033,99.53
2018,製造業-服務及銷售工作人員,26410,99.2,23891,99.39,25012,99.21,26726,99.13,28673,99.17,— ,— 
2018,製造業-技藝_機械設備操作及組裝人員,25636,98.71,— ,— ,24406,98.55,25760,98.65,27044,98.98,— ,— 
2018,製造業-基層技術工及勞力工,23323,99.21,23039,99.42,23549,99.05,— ,— ,— ,— ,— ,— 
2018,電力及燃氣供應業,29517,97.54,24436,95.16,27245,94.59,28274,96.37,30811,98.27,33610,99.48
2018,電力及燃氣供應業-專業人員,34795,98.97,— ,— ,— ,— ,— ,— ,34308,98.23,35491,100
2018,電力及燃氣供應業-技術員及助理專業人員,30332,99.33,— ,— ,— ,— ,28432,98.03,31082,99.81,33016,100
2018,電力及燃氣供應業-事務支援人員,27846,97.36,— ,— ,25740,99.28,26983,98.88,28721,96.96,31757,97.19
2018,電力及燃氣供應業-服務及銷售工作人員,29138,99.27,— ,— ,28717,100,29115,100,29540,97.73,— ,— 
2018,電力及燃氣供應業-技藝_機械設備操作及組裝人員,29362,94.16,— ,— ,28718,91.11,29659,93.56,30031,99.98,— ,— 
2018,電力及燃氣供應業-基層技術工及勞力工,25199,95.99,24436,95.16,25962,96.77,— ,— ,— ,— ,— ,— 
2018,用水供應及污染整治業,28467,98.76,23913,99.25,25984,97.26,27771,98.54,29943,99.04,35151,99.51
2018,用水供應及污染整治業-專業人員,37010,98.6,— ,— ,— ,— ,— ,— ,34957,97.81,39866,99.56
2018,用水供應及污染整治業-技術員及助理專業人員,31712,99.82,— ,— ,— ,— ,29852,99.9,31256,99.66,35309,99.44
2018,用水供應及污染整治業-事務支援人員,26485,99.2,— ,— ,25147,98.8,25602,99.57,26734,99.68,31108,99.54
2018,用水供應及污染整治業-服務及銷售工作人員,27908,99.04,24763,100,27468,100,28444,100,29487,97.94,— ,— 
2018,用水供應及污染整治業-技藝_機械設備操作及組裝人員,28951,97.59,— ,— ,28233,96.27,29063,97.06,29909,99.31,— ,— 
2018,用水供應及污染整治業-基層技術工及勞力工,24202,98.87,23786,99.12,24525,98.69,— ,— ,— ,— ,— ,— 
2018,營建工程,27702,97.59,23999,97.41,24703,98.06,26467,97.91,29154,97.52,33255,98.52
2018,營建工程-專業人員,34315,99.26,— ,— ,— ,— ,— ,— ,32897,99.12,36662,99.38
2018,營建工程-技術員及助理專業人員,29396,98.03,— ,— ,— ,— ,27753,97.45,29458,97.78,32691,98.91
2018,營建工程-事務支援人員,25890,98.46,— ,— ,23766,98.95,25278,99.33,26721,98.23,30084,98.84
2018,營建工程-服務及銷售工作人員,26333,99.24,23750,99.3,25167,99.56,27427,99.27,28707,98.85,— ,— 
2018,營建工程-技藝_機械設備操作及組裝人員,26468,99.1,— ,— ,25488,99.24,26618,98.5,27922,99.65,— ,— 
2018,營建工程-基層技術工及勞力工,24610,96.45,24049,97.05,25101,96.01,— ,— ,— ,— ,— ,— 
2018,服務業,27628,99.23,23844,99.54,24608,99.22,26145,99.37,28847,99.21,33859,99.48
2018,服務業-專業人員,34609,99.43,— ,— ,— ,— ,— ,— ,32590,99.48,37437,99.5
2018,服務業-技術員及助理專業人員,29810,99.47,— ,— ,— ,— ,27485,99.5,29773,99.29,33229,99.69
2018,服務業-事務支援人員,26572,99.26,— ,— ,24363,99.38,25450,99.56,27109,99.31,30745,99.64
2018,服務業-服務及銷售工作人員,25237,99.57,24196,99.63,24473,99.66,25299,99.72,26527,99.4,— ,— 
2018,服務業-技藝_機械設備操作及組裝人員,27142,99.09,— ,— ,25954,98.57,27082,99.03,28542,99.58,— ,— 
2018,服務業-基層技術工及勞力工,23783,99.45,23515,99.45,23978,99.46,— ,— ,— ,— ,— ,— 
2018,批發及零售業,26758,99.12,23817,99.5,24236,99.01,25536,99.17,27825,99.11,32662,99.43
2018,批發及零售業-專業人員,33788,99.66,— ,— ,— ,— ,— ,— ,32061,99.73,36235,99.63
2018,批發及零售業-技術員及助理專業人員,28802,99.24,— ,— ,— ,— ,26825,99,28922,98.9,32024,99.88
2018,批發及零售業-事務支援人員,26265,99.59,— ,— ,24297,99.89,25368,99.95,26784,99.58,30037,99.58
2018,批發及零售業-服務及銷售工作人員,24628,99.6,23885,99.87,23897,99.71,24593,99.79,25614,99.29,— ,— 
2018,批發及零售業-技藝_機械設備操作及組裝人員,25889,97.35,— ,— ,25140,96.67,25733,97.17,26969,98.38,— ,— 
2018,批發及零售業-基層技術工及勞力工,23799,99.14,23741,99.08,23834,99.18,— ,— ,— ,— ,— ,— 
2018,運輸及倉儲業,28294,99,24742,99.52,25892,98.86,27538,98.97,30002,98.7,32815,99.69
2018,運輸及倉儲業-專業人員,36252,99.75,— ,— ,— ,— ,— ,— ,34788,99.74,38059,99.68
2018,運輸及倉儲業-技術員及助理專業人員,31634,99.59,— ,— ,— ,— ,29996,99.69,31747,99.32,33304,99.77
2018,運輸及倉儲業-事務支援人員,26824,98.77,— ,— ,25111,98.47,25892,99.12,27650,98.63,29838,99.86
2018,運輸及倉儲業-服務及銷售工作人員,27031,99.3,25126,99.57,25499,99.5,27172,99.38,29262,99.21,— ,— 
2018,運輸及倉儲業-技藝_機械設備操作及組裝人員,29234,99.62,— ,— ,27796,99.4,29227,99.56,31085,99.75,— ,— 
2018,運輸及倉儲業-基層技術工及勞力工,24820,99.46,24566,99.48,24953,99.44,— ,— ,— ,— ,— ,— 
2018,住宿及餐飲業,26304,99.48,24388,99.2,25087,99.49,26295,99.66,27213,99.46,30079,99.65
2018,住宿及餐飲業-專業人員,30678,99.08,— ,— ,— ,— ,— ,— ,29669,98.45,32103,99.91
2018,住宿及餐飲業-技術員及助理專業人員,28264,99.78,— ,— ,— ,— ,27213,99.84,28140,99.7,29908,99.8
2018,住宿及餐飲業-事務支援人員,26339,99.56,— ,— ,25074,99.59,26054,99.83,26538,99.56,28480,99.43
2018,住宿及餐飲業-服務及銷售工作人員,25493,99.5,24855,98.99,25079,99.43,25766,99.61,26111,99.83,— ,— 
2018,住宿及餐飲業-技藝_機械設備操作及組裝人員,27283,99.7,— ,— ,26558,99.87,27395,99.6,27913,99.65,— ,— 
2018,住宿及餐飲業-基層技術工及勞力工,24114,99.36,23832,99.44,24354,99.32,— ,— ,— ,— ,— ,— 
2018,出版、影音製作、傳播及資通訊服務業,28832,99.14,23948,100,24426,99.34,26033,99.35,29143,99.21,34503,99.71
2018,出版、影音製作、傳播及資通訊服務業-專業人員,34003,99.2,— ,— ,— ,— ,— ,— ,31763,99.03,37479,99.75
2018,出版、影音製作、傳播及資通訊服務業-技術員及助理專業人員,29247,99.61,— ,— ,— ,— ,26654,99.48,28910,99.47,33643,99.88
2018,出版、影音製作、傳播及資通訊服務業-事務支援人員,27002,99.09,— ,— ,24389,98.63,25317,99.08,27464,99.78,30950,99.88
2018,出版、影音製作、傳播及資通訊服務業-服務及銷售工作人員,26082,99.17,24167,100,24242,100.06,25793,100,27586,98.53,— ,— 
2018,出版、影音製作、傳播及資通訊服務業-技藝_機械設備操作及組裝人員,26668,100,— ,— ,25211,100,27157,100,27313,100,— ,— 
2018,出版、影音製作、傳播及資通訊服務業-基層技術工及勞力工,23941,100,23714,100,24100,100,— ,— ,— ,— ,— ,— 
2018,金融及保險業,32044,99.5,24256,100,26126,98.66,28057,99.55,32448,99.55,37228,99.5
2018,金融及保險業-專業人員,37668,99.44,— ,— ,— ,— ,— ,— ,35490,99.96,39868,99.08
2018,金融及保險業-技術員及助理專業人員,32899,99.7,— ,— ,— ,— ,28693,99.94,32602,99.7,36312,99.66
2018,金融及保險業-事務支援人員,30539,99.52,— ,— ,26214,99.23,27691,99.78,30515,99.26,35274,100
2018,金融及保險業-服務及銷售工作人員,27555,100,24523,100,25652,100,27232,100,30134,100,— ,— 
2018,金融及保險業-技藝_機械設備操作及組裝人員,30014,98.47,— ,— ,27380,95.44,28676,97.04,32997,100,— ,— 
2018,金融及保險業-基層技術工及勞力工,24661,99.19,23876,100,25310,98.73,— ,— ,— ,— ,— ,— 
2018,不動產業,28092,99.34,23866,100,24637,98.66,26468,99.55,29494,99.82,32957,99.14
2018,不動產業-專業人員,34963,99.24,— ,— ,— ,— ,— ,— ,33858,99.58,36390,99.39
2018,不動產業-技術員及助理專業人員,29773,99.74,— ,— ,— ,— ,27600,99.82,30914,99.74,32201,100
2018,不動產業-事務支援人員,26263,99.61,— ,— ,24200,99.36,25662,99.97,27001,99.84,29877,99.22
2018,不動產業-服務及銷售工作人員,25622,99.85,23824,100,24706,99.73,25856,100,27409,100,— ,— 
2018,不動產業-技藝_機械設備操作及組裝人員,26281,97.28,— ,— ,25879,95.22,26223,96.53,26802,100,— ,— 
2018,不動產業-基層技術工及勞力工,24471,100,23913,100,25029,100,— ,— ,— ,— ,— ,— 
2018,專業_科學及技術服務業,29052,99.05,23347,98.6,24281,99.37,26035,99.82,29353,99.3,35381,99.33
2018,專業_科學及技術服務業-專業人員,35344,99.08,— ,— ,— ,— ,— ,— ,32460,99.5,39103,99.14
2018,專業_科學及技術服務業-技術員及助理專業人員,29589,99.51,— ,— ,— ,— ,27011,99.96,29371,99.39,33601,99.75
2018,專業_科學及技術服務業-事務支援人員,26836,99.33,— ,— ,24026,99.53,25347,99.78,26999,99.35,31629,99.96
2018,專業_科學及技術服務業-服務及銷售工作人員,25800,99.71,23608,100,24571,99.46,25167,100,28304,100,— ,— 
2018,專業_科學及技術服務業-技藝_機械設備操作及組裝人員,26479,99.63,— ,— ,25265,100,26468,100,27725,99.08,— ,— 
2018,專業_科學及技術服務業-基層技術工及勞力工,23465,97.97,23196,97.76,23685,98.13,— ,— ,— ,— ,— ,— 
2018,支援服務業,26243,99.29,23731,99.8,24403,99.5,25688,99.41,27401,99,31844,99.36
2018,支援服務業-專業人員,32190,99.72,— ,— ,— ,— ,— ,— ,30611,99.55,35212,99.9
2018,支援服務業-技術員及助理專業人員,28591,98.66,— ,— ,— ,— ,26865,99.17,28478,98.42,32206,98.41
2018,支援服務業-事務支援人員,25619,99.38,— ,— ,24012,99.83,25060,99.81,26053,99.21,29314,99.39
2018,支援服務業-服務及銷售工作人員,25523,99.62,24671,99.98,25234,99.71,25565,99.72,26321,99.31,— ,— 
2018,支援服務業-技藝_機械設備操作及組裝人員,26190,98.9,— ,— ,25198,98.47,26177,98.87,27414,99.48,— ,— 
2018,支援服務業-基層技術工及勞力工,23214,99.76,22976,99.66,23407,99.84,— ,— ,— ,— ,— ,— 
2018,教育業,26392,99.21,22000,100,23670,100,24102,99.79,27582,98.59,30509,98.32
2018,教育業-專業人員,29145,99.72,— ,— ,— ,— ,— ,— ,28911,99.7,30025,100
2018,教育業-技術員及助理專業人員,… ,… ,— ,— ,— ,— ,— ,— ,… ,… ,… ,… 
2018,教育業-事務支援人員,25074,98.91,— ,— ,22846,100,23277,100.26,25908,97.61,30827,96.24
2018,教育業-服務及銷售工作人員,25615,100,… ,… ,25050,100,26400,100,27543,100,— ,— 
